0.295, 0.007, 0.295
0.340, 0.062, 0.345
0.390, 0.113, 0.406
0.408, 0.137, 0.431
0.340, 0.062, 0.345
0.340, 0.062, 0.345
0.383, 0.157, 0.414
0.338, 0.111, 0.355
0.341, 0.035, 0.343
0.338, 0.111, 0.355
0.362, 0.087, 0.372
0.287, 0.158, 0.327
0.338, 0.111, 0.355
0.338, 0.111, 0.355
0.287, 0.135, 0.317
0.340, 0.062, 0.345
0.291, 0.110, 0.311
0.338, 0.111, 0.355
0.407, 0.162, 0.438
0.341, 0.013, 0.342
0.338, 0.111, 0.355
0.286, 0.160, 0.327
0.342, 0.062, 0.348
0.338, 0.111, 0.355
0.339, 0.013, 0.339
0.330, 0.209, 0.390
0.338, 0.111, 0.355
0.287, 0.158, 0.327
0.338, 0.111, 0.355
0.338, 0.111, 0.355
0.338, 0.111, 0.355
0.336, 0.107, 0.353
0.338, 0.111, 0.355
0.340, 0.062, 0.345
0.315, 0.056, 0.320
0.340, 0.062, 0.345
0.288, 0.155, 0.328
0.287, 0.158, 0.327
0.341, 0.035, 0.343
0.288, 0.104, 0.306
0.435, 0.114, 0.450
0.334, 0.156, 0.369
0.364, 0.088, 0.375
0.364, 0.088, 0.375
0.362, 0.087, 0.372
0.344, 0.008, 0.344
0.340, 0.062, 0.345
0.386, 0.060, 0.391
0.338, 0.111, 0.355
0.340, 0.062, 0.345
0.337, 0.157, 0.372
0.338, 0.111, 0.355
0.338, 0.111, 0.355
0.362, 0.084, 0.372
0.338, 0.111, 0.355
0.286, 0.160, 0.327
0.337, 0.113, 0.355
0.291, 0.058, 0.297
0.340, 0.062, 0.345
0.337, 0.163, 0.374
0.291, 0.110, 0.311
0.390, 0.111, 0.406
0.338, 0.111, 0.355
0.338, 0.111, 0.355
0.340, 0.062, 0.345
0.364, 0.088, 0.375
0.244, 0.109, 0.267
0.338, 0.111, 0.355
0.291, 0.060, 0.297
0.286, 0.160, 0.327
0.387, 0.036, 0.388
0.267, 0.084, 0.279
0.336, 0.159, 0.372
0.341, 0.035, 0.343
0.340, 0.158, 0.375
0.338, 0.111, 0.355
0.336, 0.107, 0.353
0.316, 0.083, 0.327
0.389, 0.114, 0.406
0.364, 0.088, 0.375
0.340, 0.062, 0.345
0.364, 0.088, 0.375
0.342, 0.062, 0.348
0.390, 0.012, 0.391
0.336, 0.159, 0.372
0.338, 0.111, 0.355
0.340, 0.062, 0.345
0.288, 0.111, 0.308
0.291, 0.060, 0.297
0.340, 0.062, 0.345
0.340, 0.062, 0.345
0.318, 0.034, 0.319
0.437, 0.066, 0.442
0.338, 0.161, 0.374
0.340, 0.062, 0.345
0.364, 0.088, 0.375
0.338, 0.111, 0.355
0.286, 0.160, 0.327
0.365, 0.085, 0.375
0.385, 0.063, 0.391
0.338, 0.111, 0.355
0.437, 0.066, 0.442
0.336, 0.159, 0.372
0.338, 0.111, 0.355
0.365, 0.085, 0.375
0.340, 0.059, 0.345
0.291, 0.058, 0.297
0.243, 0.106, 0.265
0.243, 0.106, 0.265
0.340, 0.059, 0.345
0.363, 0.038, 0.365
0.340, 0.062, 0.345
0.338, 0.111, 0.355
0.338, 0.111, 0.355
0.391, 0.009, 0.391
0.389, 0.113, 0.406
0.291, 0.058, 0.297
0.286, 0.160, 0.327
0.338, 0.111, 0.355
0.337, 0.163, 0.374
0.388, 0.064, 0.394
0.289, 0.059, 0.295
0.340, 0.134, 0.366
0.291, 0.060, 0.297
0.286, 0.160, 0.327
0.340, 0.062, 0.345
0.286, 0.160, 0.327
0.243, 0.106, 0.265
0.389, 0.113, 0.406
0.342, 0.062, 0.348
0.340, 0.062, 0.345
0.291, 0.058, 0.297
0.290, 0.107, 0.309
0.364, 0.088, 0.375
0.340, 0.062, 0.345
0.334, 0.112, 0.352
0.314, 0.083, 0.324
0.315, 0.132, 0.341
0.291, 0.110, 0.311
0.364, 0.088, 0.375
0.341, 0.035, 0.343
0.340, 0.134, 0.366
0.337, 0.163, 0.374
0.291, 0.060, 0.297
0.266, 0.131, 0.296
0.343, 0.060, 0.348
